,t,c,o,h,l,v
0,2012-01-01 14:59:59,83.838633975833,83.266356610811,83.838633975833,81.168006272394,799
1,2012-01-02 14:59:59,85.841604753413,83.838633975833,87.081539044296,84.124772658345,1002
2,2012-01-03 14:59:59,85.078568266716,85.841604753413,87.367677726807,85.078568266716,2653
3,2012-01-04 14:59:59,82.503320124114,85.078568266716,83.457115732485,80.30959022486,490
4,2012-01-05 14:59:59,81.835663198254,82.503320124114,83.457115732485,81.835663198254,121
5,2012-01-08 14:59:59,79.165035494814,81.835663198254,80.595728907371,77.63896252142,4835
6,2012-01-09 14:59:59,80.691108468208,79.165035494814,80.691108468208,79.165035494814,195
7,2012-01-10 14:59:59,80.595728907371,80.691108468208,82.217181441602,80.595728907371,658
8,2012-01-11 14:59:59,83.361736171648,80.595728907371,83.361736171648,80.595728907371,969
9,2012-01-12 14:59:59,86.223122996761,83.361736171648,86.223122996761,82.026422319928,773
10,2012-01-16 14:59:59,83.838633975833,86.223122996761,84.506290901693,82.694079245788,235
11,2012-01-17 14:59:59,82.121801880765,83.838633975833,82.503320124114,78.211239886443,2244
12,2012-01-18 14:59:59,84.124772658345,82.121801880765,84.124772658345,79.165035494814,1617
13,2012-01-22 14:59:59,79.737312859837,84.124772658345,82.980217928299,79.737312859837,1273
14,2012-01-23 14:59:59,79.641933299,79.737312859837,80.404969785697,78.783517251466,1255
15,2012-01-25 14:59:59,80.118831103185,79.641933299,80.118831103185,78.688137690629,442
16,2012-01-26 14:59:59,79.165035494814,80.118831103185,79.165035494814,78.783517251466,408
17,2012-01-29 14:59:59,79.165035494814,79.165035494814,79.165035494814,78.497378568954,496
18,2012-01-31 14:59:59,80.30959022486,79.165035494814,80.595728907371,80.30959022486,143
19,2012-02-01 14:59:59,79.355794616488,80.30959022486,80.118831103185,79.355794616488,250
20,2012-02-02 14:59:59,81.072626711557,79.355794616488,81.072626711557,79.451174177326,382
21,2012-02-05 14:59:59,79.069655933977,81.072626711557,80.118831103185,78.592758129791,1035
